Tid;Vannstand(m)
2017-01-06 05:00;     1,337
2017-01-06 06:00;     1,336
2017-01-06 07:00;     1,335
2017-01-06 08:00;     1,333
2017-01-06 09:00;     1,334
2017-01-06 10:00;     1,332
2017-01-06 11:00;     1,331
2017-01-06 12:00;     1,332
2017-01-06 13:00;     1,325
2017-01-06 14:00;     1,333
2017-01-06 15:00;     1,329
2017-01-06 16:00;     1,328
2017-01-06 17:00;     1,328
2017-01-06 18:00;     1,330
2017-01-06 19:00;     1,327
2017-01-06 20:00;     1,329
2017-01-06 21:00;     1,324
2017-01-06 22:00;     1,330
2017-01-06 23:00;     1,323
2017-01-07 00:00;     1,323
2017-01-07 01:00;     1,318
2017-01-07 02:00;     1,323
2017-01-07 03:00;     1,325
2017-01-07 04:00;     1,319
2017-01-07 05:00;     1,320
2017-01-07 06:00;     1,318
2017-01-07 07:00;     1,320
2017-01-07 08:00;     1,318
2017-01-07 09:00;     1,318
2017-01-07 10:00;     1,316
2017-01-07 11:00;     1,316
2017-01-07 12:00;     1,314
2017-01-07 13:00;     1,314
2017-01-07 14:00;     1,314
2017-01-07 15:00;     1,314
2017-01-07 16:00;     1,312
2017-01-07 17:00;     1,313
2017-01-07 18:00;     1,311
2017-01-07 19:00;     1,310
2017-01-07 20:00;     1,311
2017-01-07 21:00;     1,309
2017-01-07 22:00;     1,307
2017-01-07 23:00;     1,307
2017-01-08 00:00;     1,308
2017-01-08 01:00;     1,305
2017-01-08 02:00;     1,304
2017-01-08 03:00;     1,304
2017-01-08 04:00;     1,302
2017-01-08 05:00;     1,302
2017-01-08 06:00;     1,300
2017-01-08 07:00;     1,302
2017-01-08 08:00;     1,302
2017-01-08 09:00;     1,302
2017-01-08 10:00;     1,302
2017-01-08 11:00;     1,299
2017-01-08 12:00;     1,300
2017-01-08 13:00;     1,299
2017-01-08 14:00;     1,299
2017-01-08 15:00;     1,299
2017-01-08 16:00;     1,301
2017-01-08 17:00;     1,293
2017-01-08 18:00;     1,292
2017-01-08 19:00;     1,291
2017-01-08 20:00;     1,292
2017-01-08 21:00;     1,293
2017-01-08 22:00;     1,290
2017-01-08 23:00;     1,292
2017-01-09 00:00;     1,292
2017-01-09 01:00;     1,291
2017-01-09 02:00;     1,290
2017-01-09 03:00;     1,290
2017-01-09 04:00;     1,291
2017-01-09 05:00;     1,290
2017-01-09 06:00;     1,293
2017-01-09 07:00;     1,292
2017-01-09 08:00;     1,290
2017-01-09 09:00;     1,295
2017-01-09 10:00;     1,292
2017-01-09 11:00;     1,292
2017-01-09 12:00;     1,295
2017-01-09 13:00;     1,297
2017-01-09 14:00;     1,298
2017-01-09 15:00;     1,298
2017-01-09 16:00;     1,302
2017-01-09 17:00;     1,304
2017-01-09 18:00;     1,307
2017-01-09 19:00;     1,308
2017-01-09 20:00;     1,313
2017-01-09 21:00;     1,313
2017-01-09 22:00;     1,317
2017-01-09 23:00;     1,319
2017-01-10 00:00;     1,321
2017-01-10 01:00;     1,325
2017-01-10 02:00;     1,328
2017-01-10 03:00;     1,331
2017-01-10 04:00;     1,335
2017-01-10 05:00;     1,338
2017-01-10 06:00;     1,342
2017-01-10 07:00;     1,343
2017-01-10 08:00;     1,350
2017-01-10 09:00;     1,351
2017-01-10 10:00;     1,356
2017-01-10 11:00;     1,356
2017-01-10 12:00;     1,359
2017-01-10 13:00;     1,362
2017-01-10 14:00;     1,360
2017-01-10 15:00;     1,364
2017-01-10 16:00;     1,364
2017-01-10 17:00;     1,363
2017-01-10 18:00;     1,368
2017-01-10 19:00;     1,367
2017-01-10 20:00;     1,368
2017-01-10 21:00;     1,369
2017-01-10 22:00;     1,371
2017-01-10 23:00;     1,371
2017-01-11 00:00;     1,369
2017-01-11 01:00;     1,372
2017-01-11 02:00;     1,370
2017-01-11 03:00;     1,374
2017-01-11 04:00;     1,374
2017-01-11 05:00;     1,377
2017-01-11 06:00;     1,376
2017-01-11 07:00;     1,377
2017-01-11 08:00;     1,378
2017-01-11 09:00;     1,379
2017-01-11 10:00;     1,379
2017-01-11 11:00;     1,379
2017-01-11 12:00;     1,378
2017-01-11 13:00;     1,380
2017-01-11 14:00;     1,381
2017-01-11 15:00;     1,380
2017-01-11 16:00;     1,377
2017-01-11 17:00;     1,381
